document_id,clean_text,Sentiment 
1,margot does the best with what shes given but this film was very disappointing to me it was marketed as a fun quirky satire with homages to other movies it started that way but ended with overdramatized speeches and an ending that clearly tried to make the audience feel something but left everyone just feeling confused and before you say im a crotchety old man im a woman in my s so im pretty sure im this movies target audience the saddest part is there were parents with their kids in the theater that were victims of the poor marketing because this is not a kids movie overall the humor was fun on occasion and the film is beautiful to look at but the whole concept falls apart in the second half of the film and becomes a pity party for the strong woman,negative
2,before making barbie greta gerwigsinglehandedly directed two filmslady bird andlittle women  both were about girls on the precipice of adolescence both had nuanced and layered portrayals of motherdaughter relationships both combined imaginative visuals with clever dialogue both were very very good given those credentials one may expect barbie to be as intelligent convincing and amusing a picture  and well it isntthe fantasy comedy begins in barbie land a place where barbie played bymargot robbie is having the best day every day in the company of other barbies and occasionally kens the designs costumes and cinematography do an excellent job recreating the mattel vision in its pink plastic perfection the introduction is referential but not overtly reliant on what is external to the film it is smartly selfaware and presents a world where barbie can be anything  a president a physicist a journalist a lawyer or a mermaid much like with the original toys ken ryan gosling comes as an afterthought and only exists within the warmth of barbies gazethe plot is set in motion when barbie begins having thoughts about death and normally suspended in the state of standing on the balls of her feet she feels her heels hit the ground what follows isthe wizard of oz journey in reverse the parallel is explicit and ultimately a pinocchio storyline of the doll in the real worldif barbie was fully dedicated to that conceit  as promised by the trailer  it could be an interesting exploration in the way ofthe truman show orstranger than fiction  instead the film chooses to introduce a handful of conflicts threats and plotlines that are never fully realised what is the nature of the connection between a barbie and the girl who plays with the doll in the real world what would happen if barbie were put back in the box why is gloria america ferrera the receptionist at the mattel headquarters and later barbies realworld companion depressed  and how is that eventually resolved why is glorias daughter sasha ariana greenblatt cross with her mother why does the board of mattel spend one third of the film hiding in the bushes most importantly the crux of the thirdact conflict  set in barbie land now renamed kendom  contradicts what had been previously established about that world and its inhabitantstowards the finale the production evolves into explicit commentary on gender roles one side is presented as clueless and attentionseeking while the other is manipulative and vengeful the film repeatedly takes offence with mansplaining yet behaves in a blithely patronising manner towards the viewer much of what is declared is not supported by what has been shown and the picture relies on the presumed prior experience of the audience rather than on storytelling while the denouement includes one of the films highlights the musical number im just ken the ending does not resolve or acknowledge much and the final scene is reductive to the point of being offensivebarbie is very easy on the eye and the acting ranges from competent to inspired with praiseworthy performances by the leading actors margot robbie is pitchperfect as barbie and ryan gosling shines as her counterpart often stealing the show situational comedy and slapstick mostly land while some of the bon mots are funny yet hardly plausible when spoken by the charactersif only this were better written if only the joyride in the pink convertible did not leave you with blond hair in your mouth,positive
3,the quality the humor and the writing of the movie is fun for a while its quirky and its unique when they get into the weeds and try to explore deeper themes the movie is a miss the middle expositional phase of the movie i must say is a borethe movie was so close to being great but it was incapable of delivering a message without having a character literally give a speech worth of dialoguewhat could have been a great satire and what began as a cleverly funny movie turned into a preachy and moralizing movie in the end but i guess the charm of the first half of the movie made up for the shortcomings,negative
4,as much as it pains me to give a movie called barbie a  out of  i have to do so it is so brilliantly handled and finely crafted i have to give the filmakers credit yes i am somewhat conservative person and former law enforcement officer im a guy i like guy things hell i even enjoyed the battleship movie a few years ago an absolutely ridiculous but fun romp of an action film but i also like to experience other perspectives and man oh man does this movie deliver that in spades  pretty much encapsulated everything my wife has tried to convey about her entire career and life experience wrapped up into two hours the humor the sets the acting and the ability to weave the current narrative into the story was just perfect i dont agree with some of the points of the movie but again thats ok this movie wasnt designed to give a balanced perspective of men versus women it is a noholdsbarred unapologetic crazy ride of a rant about the real issues that women have faced since they were allowed to have real jobs and do the same things as men give me a well done film that is a blast to watch that makes you think and that was done from a place of creativity passion and attention to detail and ill call it what it is a  out of  masterpiece,positive
5,as a woman that grew up with barbie i was very excited for this movie i was curious to see how they would evolve the stereotypical barbie into something more but the messaging in this movie was so heavy handed that it completely lost the plot i consider myself a proponent of gender equality and this aint the way to get itbarbieland flips the script on the patriarchy of the real world giving women the power and leaving the kens as attractive accessories once ken gets a glimpse of the real world he brings the patriarchy to barbieland and the barbies are brainwashed this happens suddenly and without much explanation the kens are bumbling fools with zero understanding of governance and barbieland falls into disarraythe movies solution to this is for the barbies to give a lot of ted talks on the patriarchy fool the kens into war with each other and rule once again but isnt the point if gender equality equalitythe feminist messaging could have been so much more effective if it was laid on so thick more humor and nuance please the story gets lost the real world characters dont add much and not much changes in the endwhat was enjoyable was the acting the sets and of course the nostalgia,negative
6,it pains me to say it but i enjoyed this movie so much more then i was expecting to musical numbers humour there truly is something for the whole family yo enjoybright garish and somewhat kitsch those were my expectations and sure its a veritable cornucopia of glitter and rainbows but what i wasnt expecting was for the film to be so engaging theres actually some real depth that i wasnt expecting that opening introduction that came as a major surprise and pretty much set the toneof course there are plenty of double entendres laughs that adults will enjoy kids will no doubt chuckle away tooim pretty sure this film is going to win awards for its production its very well made creative design and visuals a lot of thought has gone into this greta gerwig did a great jobmargot robbie is glorious as barbie ryan gosling was great i thought the pair shared some terrific scenes real chemistry and plenty of cutting one linersgreat use of music everything fitted into the film so well,positive
7,the first reason to go see itits good fun its fairytale comedy over the top pastiche and it works it simply does margot robie and ryan gosling have great chemistry everybody sorta agrees on thatkids are probably not the target audience although if they would watch it they wouldnt be shocked or something they would merely be missing the social and gender issues and jokes of many scenesthe second reason to go see itit really looks the part i am not into sets or costumes in particular at all but i was impressed with the fun world they had created it really looks fabulous and i really appreciate it when a movie is eyecandy from start till finishthe third and best reason to go see iti am a dude and i honestly feared the worst when going along with my wife but i honestly did not expect this sugarcoated fairytale barbieworld to touch my heart in the end but it did what the whatthey somehow created a finale that gave me goosebumps and a terrific feel good vibe you cant wish for more than that as a dude watching a barbie picture hellothe only reason against seeing itif you are a dude and dont like men being portrayed as weak and emotionally inferior to women then better not go see it because all the men are hilarious loosers and whiners in this movie with a brilliant performance by ryan gosling as an insecure crybaby who just cant get barbie to love himfeared the worst but in the end i was pleasantly suprised its certainly not a brilliant movie but it is a perfect summer escape movie with lots of jokes and a wonderful feel good vibe,nuetral
8,i thought this would be so much different the ending made me feel sad and empty ken and barbie dont end up together and they made ken seem like a complete idiot actually they presented men as being dumb throughout the whole movie and im not a man but thats just not true it was depressing and sad and never the way barbie was created for i know a lot of people wont agree with me and thats okay but it was just pointless going to see it the only good thing is that the barbie aesthetic was beautifully donei just do not like the way they presented men its almost like they want women to turn against men which in that case the point of the movie is very degrading for many people,negative
9,i dont know if i put spoilers in here i am super worn out haha so i will just put that i didi had no clue what this movie was like or about it just seemed like a strange different type of movie to me it was going to be some kind of movie for kids that tells you everything is perfect it was nothing like thatthere were a couple of young teen girls on the right of my mom and me i felt weird knowing that there is no way i would bring a kid or teen to see thisthe movie is really all focused on political and gender views so that one totally surprised methere are points in which i kind of rolled my eyes a bit of the singing kind of went on there were also times that i was all tearythere are sexual references in this young kids would not understand but one part in which she tells of a specific thing that she does not have and a specific thing ken does not have that was a bit strangethe end threw me off here is a movie that seems to be saying we are equal but we are not treated that way yet at the same time it seems to be making men out to be mindless idiots also something one of the male characters asks at the end and the reply the woman gives seems to lead one to believe that things will be the exact same as they were but unlike the way things seem to be in barbie land the women will be above all men i didnt really get that then what may be the last lines of the movie place barbie somewhere i didnt get the point of iti heard adults laughing repeatedly the kids that were their kind of sat silentthis is one of those movies that i cannot see every watching again but it was fun and unique seeing it in the theater also i dug the set design all the other stuff in the barbie world it was just cool to see,negative
10,i went to see this today everyone in my group dressed in pink and ready to at least be entertained by pastelcolored camp for two hours barbie kind of succeeds there i loved the costuming and sets of barbieland and margot robie is such a fantastic actress the perfect embodiment of the optimistic shecandoitall barbie ryan gosling was a scenestealer with his horse obsession and faux mink coatdespite all this the movie as a whole was disappointing as much as it succeeds at campy comedy and musical numbers its attempts at feminist commentary and existentialism fall flat the messaging is so on the nose spelled right out for the audience so no one will have to strain their brain not that these scenes cant be funny or hit home the guitar gag gave me college flashbacks but a little subtlety could not have hurti also had issues with the differences between barbieland and the real world i can accept everyone in barbieland talking in what many term marvel speak if youve watched anything made in the past  years youll recognize it right away you know we make all these pop culture references like spiderman in the mcu with aliens and we say what we think in the bluntest way possible because its so awkward that its funny oooor it was when it was novel and new years ago now its staler than a can of pepsi clear oh yeah i remember the s macarenathe barbies and kens are supposed to be simplistic figures with no sense of emotional nuance however the humans in the real world are supposed to be the opposite messy complicated not that charming why are they also talking like that it just feels lazyand then there are the existential themes margot robies barbie gets tired of being an ideal of independent womanhood in an eternal paradise at the end she chooses to be human and embrace mortality because mortality is ultimately what gives our lives meaning a decent theme too bad the movie never really delves into it its given lip service nothing moreit had some cute moments but honestly the end experience was meh the hype was more memorable than the finished product,negative
